"","HUC_i","HUC_j","points_i","length_i","area_i","points_j","length_j","area_j","distance_ij"
"15517",42,178,8402,438182.504918,468727696.46,6188,781232.492791,601116832.259,225883.9171
"15535",23,178,489,553095.217362,722734396.623,6188,781232.492791,601116832.259,226100.3237
"15539",190,204,11327,1453769.54938,1253986034.33,3405,633931.66063,1246649832.2,226137.5805
"15555",53,148,4682,912665.799095,1487622720.29,421,678967.659273,653775833.434,226315.0243
"15556",149,192,3286,832440.708965,527986571.806,6804,254705.268791,468640572.712,226328.8791
"15560",59,403,2618,312023.509273,498690546.22,15441,2169803.70952,3282264497.41,226341.1038
"15570",43,156,920,329116.870826,556605641.277,11821,2108768.4648,2399304474.9,226413.493
"15600",164,177,4422,1353925.34857,1298060591.31,13356,809238.423438,1071549764.86,226666.6102
"15613",155,169,17884,2205895.39613,2768996075.97,11576,1654242.92381,2374629754,226801.52
"15628",192,208,6804,254705.268791,468640572.712,9352,1548478.95706,1780963677.62,226920.3657
"15650",150,192,17952,3733456.30238,2413788748.91,6804,254705.268791,468640572.712,227042.5891
"15662",28,403,6049,644498.607186,451560914.395,15441,2169803.70952,3282264497.41,227099.0458
"15684",43,160,920,329116.870826,556605641.277,16718,2641165.17254,2206591411.82,227333.0762
"15686",160,194,16718,2641165.17254,2206591411.82,2623,483442.524083,707446827.694,227356.8346
"15708",61,191,8912,1517995.98185,1978683680.72,12392,851620.791604,1335617285.69,227547.5841
"15717",394,403,19514,2269045.99455,2958449434.35,15441,2169803.70952,3282264497.41,227641.9575
"15726",162,192,4472,1087840.26405,1164200708.05,6804,254705.268791,468640572.712,227727.091
"15746",22,165,673,819693.164624,781914542.069,4422,1834982.23088,1619720716.8,227876.2845
"15759",148,395,421,678967.659273,653775833.434,4662,897169.710945,2043592767.67,227949.9672
"15787",23,50,489,553095.217362,722734396.623,10880,1109494.62789,1634992073.48,228176.9295
"15792",27,171,13653,2093613.60365,1231105140.44,8888,1865098.79141,1899080337.91,228222.8986
"15812",152,170,4405,401341.364698,370814966.197,9507,921322.489428,902943239.364,228436.6361
"15816",148,191,421,678967.659273,653775833.434,12392,851620.791604,1335617285.69,228454.8796
"15837",158,176,1567,214287.566148,559532664.465,7281,994620.80025,1612982961.02,228647.4498
"15840",41,191,11123,820589.353485,977864406.906,12392,851620.791604,1335617285.69,228670.16
"15855",61,159,8912,1517995.98185,1978683680.72,5153,282045.166749,188168169.193,228785.0303
"15857",196,203,3489,711644.720915,931211320.671,4917,448622.339202,503930913.697,228800.8456
"15887",61,176,8912,1517995.98185,1978683680.72,7281,994620.80025,1612982961.02,229119.0097
"15891",59,193,2618,312023.509273,498690546.22,1139,246566.008858,747489017.086,229158.0094
"15905",27,167,13653,2093613.60365,1231105140.44,1567,507664.349505,919263103.236,229264.5753
"15915",154,395,12648,996600.27872,1230838377.06,4662,897169.710945,2043592767.67,229329.2031
"15920",154,171,12648,996600.27872,1230838377.06,8888,1865098.79141,1899080337.91,229382.6806
"15923",150,169,17952,3733456.30238,2413788748.91,11576,1654242.92381,2374629754,229403.2347
"15927",43,394,920,329116.870826,556605641.277,19514,2269045.99455,2958449434.35,229435.325
"15954",41,177,11123,820589.353485,977864406.906,13356,809238.423438,1071549764.86,229638.6172
"15962",33,42,13956,2689645.37194,1798344837.1,8402,438182.504918,468727696.46,229690.0574
"15986",164,175,4422,1353925.34857,1298060591.31,17187,2353037.01825,2922732511.91,229954.5885
"16023",41,54,11123,820589.353485,977864406.906,7496,1743542.55719,3588231108.57,230311.6892
"16045",151,171,22241,3147846.5546,2581405676.79,8888,1865098.79141,1899080337.91,230504.0475
"16058",50,59,10880,1109494.62789,1634992073.48,2618,312023.509273,498690546.22,230561.8102
"16074",148,203,421,678967.659273,653775833.434,4917,448622.339202,503930913.697,230655.9401
"16081",42,52,8402,438182.504918,468727696.46,3322,644082.819848,1222412983.43,230779.2388
"16091",161,212,14629,2385326.96972,2453624839.04,12839,2820052.67618,3728259662.3,230835.9999
"16153",23,165,489,553095.217362,722734396.623,4422,1834982.23088,1619720716.8,231412.1467
"16160",51,150,4748,467952.886776,552135041.351,17952,3733456.30238,2413788748.91,231468.2243
"16179",55,161,1864,258598.894036,986638704.338,14629,2385326.96972,2453624839.04,231662.0763
"16181",169,403,11576,1654242.92381,2374629754,15441,2169803.70952,3282264497.41,231697.9672
"16196",149,170,3286,832440.708965,527986571.806,9507,921322.489428,902943239.364,231768.9973
"16206",52,173,3322,644082.819848,1222412983.43,1505,658235.945779,635414583.385,231852.9862
"16208",59,174,2618,312023.509273,498690546.22,2170,673784.609775,733950779.508,231868.2712
"16254",61,160,8912,1517995.98185,1978683680.72,16718,2641165.17254,2206591411.82,232252.6792
"16255",55,203,1864,258598.894036,986638704.338,4917,448622.339202,503930913.697,232260.0767
"16256",43,52,920,329116.870826,556605641.277,3322,644082.819848,1222412983.43,232268.9385
