"","HUC_i","HUC_j","points_i","length_i","area_i","points_j","length_j","area_j","distance_ij"
"16268",165,177,4422,1834982.23088,1619720716.8,13356,809238.423438,1071549764.86,232436.6725
"16273",24,166,11400,1641291.23625,1203390876.26,7947,1973887.79158,2383726910.88,232478.0787
"16279",152,167,4405,401341.364698,370814966.197,1567,507664.349505,919263103.236,232505.5214
"16289",24,178,11400,1641291.23625,1203390876.26,6188,781232.492791,601116832.259,232571.0215
"16310",27,179,13653,2093613.60365,1231105140.44,657,146939.477626,219121912.887,232792.2428
"16317",157,172,6444,762387.267075,2013881876.76,10117,3003563.93521,3184286865.45,232818.9621
"16321",27,392,13653,2093613.60365,1231105140.44,9776,1243583.09089,2738416862.82,232842.5434
"16356",33,41,13956,2689645.37194,1798344837.1,11123,820589.353485,977864406.906,233238.2436
"16357",43,208,920,329116.870826,556605641.277,9352,1548478.95706,1780963677.62,233241.2316
"16371",151,174,22241,3147846.5546,2581405676.79,2170,673784.609775,733950779.508,233352.487
"16378",29,168,17370,2752283.46207,1595089814.57,723,292231.105356,563366373.427,233373.9217
"16385",29,53,17370,2752283.46207,1595089814.57,4682,912665.799095,1487622720.29,233414.229
"16386",43,398,920,329116.870826,556605641.277,18273,2865499.78312,2853081750.53,233427.6127
"16405",29,174,17370,2752283.46207,1595089814.57,2170,673784.609775,733950779.508,233551.6327
"16419",25,157,3170,1425934.38347,926104627.813,6444,762387.267075,2013881876.76,233685.3116
"16432",21,157,1267,568204.43722,755611618.824,6444,762387.267075,2013881876.76,233772.9682
"16457",55,172,1864,258598.894036,986638704.338,10117,3003563.93521,3184286865.45,234010.3293
"16459",168,196,723,292231.105356,563366373.427,3489,711644.720915,931211320.671,234018.0744
"16484",154,193,12648,996600.27872,1230838377.06,1139,246566.008858,747489017.086,234203.4382
"16490",43,157,920,329116.870826,556605641.277,6444,762387.267075,2013881876.76,234259.5764
"16502",31,51,7791,1386961.45355,1464916864.12,4748,467952.886776,552135041.351,234352.1945
"16513",156,193,11821,2108768.4648,2399304474.9,1139,246566.008858,747489017.086,234433.462
"16515",156,208,11821,2108768.4648,2399304474.9,9352,1548478.95706,1780963677.62,234456.9233
"16522",27,403,13653,2093613.60365,1231105140.44,15441,2169803.70952,3282264497.41,234519.3719
