"","INPUT_FID","NEAR_FID","DISTANCE"
"4666",165,392,117000.3584
"4671",51,190,117055.8923
"4673",29,31,117076.2811
"4692",31,174,117255.2491
"4696",31,168,117297.5697
"4697",55,194,117320.8399
"4721",165,172,117600.5341
"4731",51,203,117756.5987
"4752",27,152,118022.0416
"4766",164,394,118177.485
"4790",51,55,118461.6331
"4802",154,178,118657.0891
"4803",59,212,118679.5136
"4809",154,163,118755.0197
"4827",169,173,118939.4093
"4839",151,159,119123.121
"4853",179,192,119276.8368
"4854",53,212,119294.2356
"4871",50,54,119534.6587
"4884",193,212,119742.1543
"4885",153,157,119761.8745
"4892",31,392,119866.977
"4898",150,161,119968.5191
"4914",159,171,120124.2953
"4915",50,194,120131.8904
"4937",155,177,120312.8926
"4945",54,59,120386.2672
"4946",54,156,120397.4824
"4947",175,203,120398.5396
"4957",21,30,120575.7943
"4958",50,176,120581.478
"4964",51,193,120659.6237
"4995",52,196,121077.3299
"4997",148,155,121105.1098
"5025",29,161,121527.9849
"5035",193,203,121659.3364
"5056",151,394,121899.1465
"5058",153,403,121932.32
"5061",30,398,121975.9982
"5069",157,398,122052.7237
"5082",53,191,122262.5037
"5092",51,158,122339.4946
"5098",31,156,122402.891
"5101",53,164,122444.331
"5109",54,194,122541.2019
"5123",152,403,122733.049
"5161",53,55,123219.5807
"5173",52,192,123307.4903
"5188",164,392,123506.6554
"5199",161,169,123608.3838
"5207",152,190,123671.7727
"5216",21,152,123842.3427
"5222",21,153,123911.4107
"5231",155,158,124092.3213
"5239",54,177,124172.5375
"5251",168,392,124325.6656
"5256",166,393,124372.4065
"5259",155,203,124399.1732
"5265",25,32,124467.3985
"5278",151,158,124722.2841
"5288",157,190,124868.2344
"5299",160,166,125079.3957
"5302",41,158,125108.6828
"5311",162,170,125162.6656
"5320",24,394,125234.7012
"5336",50,212,125420.9573
"5353",53,155,125624.2667
"5365",30,31,125717.7079
"5371",212,403,125808.0681
"5374",26,154,125846.4418
"5378",29,150,125930.066
"5380",29,148,125948.7143
"5396",52,178,126146.6926
"5402",43,164,126227.453
"5408",50,160,126260.692
"5416",194,403,126427.9484
"5419",24,32,126456.491
"5422",176,212,126490.7854
"5426",166,398,126518.5476
"5439",177,195,126669.4318
"5448",160,169,126868.1104
"5449",23,30,126871.6398
"5457",50,179,127033.9395
"5460",50,153,127098.3717
"5475",172,393,127312.2836
"5477",162,171,127320.2228
"5488",28,160,127485.6439
"5492",154,191,127525.8269
"5511",151,162,127753.1352
"5513",51,154,127797.6852
"5525",164,393,127930.101
"5529",152,159,127964.2677
"5541",152,179,128128.151
"5558",192,195,128320.0591
"5559",52,154,128335.2412
"5564",194,208,128411.7515
"5567",32,162,128467.0992
"5570",51,195,128504.5635
"5577",30,151,128582.4338
"5579",154,177,128658.1727
"5583",27,31,128668.3182
"5634",42,156,129212.3787
"5660",26,155,129521.96
"5666",149,156,129593.3218
"5671",171,394,129652.504
"5678",158,169,129737.3206
"5680",30,149,129757.7786
"5690",50,152,129888.4711
"5695",28,159,129933.6104
"5698",392,395,129993.9337
"5701",41,165,130022.4882
"5704",153,178,130048.7964
"5731",152,162,130379.8633
"5736",31,151,130430.2748
"5737",42,162,130431.8743
"5739",27,395,130432.748
"5742",166,394,130450.7301
"5753",53,165,130616.2348
"5773",27,153,130828.8139
"5774",41,155,130854.1719
"5779",155,192,130893.9706
"5783",25,394,130932.1196
"5788",153,158,131009.6891
"5791",51,204,131039.0807
"5804",156,166,131311.6581
"5821",157,211,131555.3958
"5825",163,403,131588.2226
"5845",51,196,131893.915
"5847",28,153,131910.5325
"5858",150,398,132011.4543
"5872",52,160,132184.192
"5887",22,152,132329.6043
"5892",176,403,132358.7551
"5907",156,177,132495.8642
"5950",155,398,133052.9103
"5965",25,398,133133.3058
"5970",179,403,133201.2346
"5977",167,394,133285.5056
"5984",53,398,133360.6057
"5990",24,154,133480.9483
"6007",41,169,133736.9704
"6014",154,179,133815.1767
"6028",148,154,133907.262
"6029",52,61,133907.5476
"6040",191,212,133980.79
"6047",32,151,134038.1267
"6072",151,157,134392.8986
"6089",51,155,134573.5128
"6090",54,162,134575.1386
"6099",157,164,134676.5901
"6105",161,403,134733.4684
"6109",53,211,134805.6535
"6147",157,192,135304.0404
"6179",54,211,135589.6273
"6180",25,152,135589.7342
"6194",399,404,135725.2208
"6200",392,394,135794.3635
"6205",157,212,135831.0364
"6216",32,160,135915.3863
"6245",53,178,136467.533
"6250",175,190,136525.2281
"6254",178,193,136541.5354
"6265",176,190,136734.9962
"6271",161,166,136778.1649
"6275",26,160,136794.563
"6277",24,160,136930.6657
"6284",53,166,137005.0627
"6293",53,152,137202.2103
"6299",170,398,137231.1245
"6313",22,153,137426.448
"6332",42,395,137631.2727
"6342",42,155,137736.947
"6344",157,165,137766.1656
"6348",41,395,137787.2515
"6360",52,162,137932.1931
"6361",159,393,137951.6276
"6389",32,392,138352.285
"6408",52,204,138551.5656
"6412",51,163,138597.8534
"6429",29,152,138840.7316
"6430",32,164,138842.795
"6442",173,393,138952.6471
"6443",148,161,138953.2682
"6446",53,168,139003.9349
"6456",177,179,139146.9984
"6462",150,160,139211.5574
"6468",158,394,139345.9524
"6471",163,171,139387.8047
"6475",150,179,139432.8369
"6502",32,171,139701.2252
"6507",395,398,139756.4354
"6512",26,394,139812.0815
"6521",191,195,139915.4764
"6564",23,155,140488.491
"6582",178,194,140696.8591
"6593",160,168,140798.0379
"6603",156,191,140932.8241
"6611",23,161,141073.4559
"6625",152,178,141180.0052
"6626",27,160,141186.847
"6644",50,193,141409.7106
"6647",149,394,141446.5891
"6665",163,173,141635.7736
"6690",168,393,141917.3773
"6707",196,211,142064.5062
"6724",33,393,142292.4649
"6726",52,208,142319.7808
"6756",156,168,142624.2372
"6757",192,212,142626.6319
"6775",52,176,142842.8319
"6776",61,204,142851.4635
"6779",24,155,142878.2959
"6781",42,158,142895.6857
"6782",156,178,142897.6772
"6786",26,32,142973.8432
"6789",54,168,142983.1933
"6798",156,394,143094.1961
"6804",158,167,143166.0801
"6814",25,161,143305.5838
"6820",156,190,143437.0327
"6829",194,203,143493.2436
"6837",54,204,143608.5062
"6843",175,208,143664.2228
"6867",30,161,143917.7641
"6902",25,153,144236.2443
"6911",28,154,144293.9904
"6912",162,403,144325.792
"6926",50,163,144549.7092
"6954",59,204,144827.1762
"6969",23,398,144986.1847
"6977",54,164,145053.6421
"7001",177,204,145292.1197
"7022",43,392,145629.7244
"7036",55,163,145850.2366
"7056",22,398,146114.9523
"7064",158,177,146195.8213
"7077",29,159,146332.5056
"7087",163,394,146433.0466
"7088",51,160,146441.369
"7090",50,161,146444.809
"7097",23,154,146520.9503
"7099",54,160,146555.3257
"7100",31,154,146559.5229
"7103",42,165,146595.6599
"7115",52,190,146710.4356
"7118",158,174,146786.0961
"7126",53,153,146837.5901
"7131",42,169,146874.3488
"7167",156,169,147289.2869
"7170",43,165,147325.9067
"7175",28,169,147391.1845
"7194",22,32,147531.7105
"7198",32,167,147591.4312
"7202",193,196,147664.0388
"7203",149,159,147669.3337
"7215",168,398,147796.5609
"7232",148,398,148017.5708
"7236",52,155,148052.0228
"7244",55,157,148119.2034
"7252",154,165,148202.4224
"7255",30,148,148213.3817
"7259",53,192,148261.8297
"7260",153,159,148262.1868
"7268",53,190,148344.0073
"7271",171,395,148356.4095
"7276",167,398,148425.8838
"7310",163,170,148883.8149
"7319",29,160,148940.2926
"7322",28,162,148954.4375
"7327",27,159,148988.0942
"7335",53,194,149030.8387
"7337",54,191,149050.5347
"7351",24,31,149256.0639
"7368",153,162,149443.3937
"7379",32,166,149565.7493
"7403",52,195,149947.3124
"7408",153,191,149997.0712
"7409",165,395,150002.1521
"7414",32,149,150031.7016
"7418",152,394,150059.3433
"7425",30,150,150129.4423
"7443",162,173,150300.9458
"7479",52,193,150769.994
"7505",174,394,151003.2369
"7516",27,154,151116.9211
"7517",195,208,151117.8587
"7526",159,392,151269.732
"7531",41,157,151314.0742
"7541",31,152,151454.2939
"7548",157,166,151542.1967
"7567",22,161,151771.6058
"7568",41,163,151774.1262
"7575",54,166,151823.6375
"7582",25,395,151885.636
"7599",193,403,152087.4864
"7603",22,394,152144.8304
"7614",163,172,152239.4597
"7624",41,164,152385.4211
"7644",155,162,152662.6426
"7662",55,211,152732.5984
"7663",148,179,152749.62
"7678",149,158,152920.7489
"7696",159,395,153116.2876
"7703",32,33,153189.6674
"7725",43,170,153424.8886
"7734",159,173,153488.9128
"7740",154,192,153595.8161
"7744",29,153,153634.2807
"7779",149,179,153958.3253
"7786",150,156,154032.1091
"7790",29,169,154036.4948
"7815",168,394,154363.7945
"7819",393,398,154388.1916
